Group Name,X,Y,Z,GridX,GridY,Feature,Normalized Feature,MEPFrequency,PreStim Mean
Sample 10,-16.9882,-67.9058,94.9129,Sample 10,Sample 10,0.0940950609219726,100,100,0.000818823646472795
Sample 11,-15.518,-80.2918,88.59,Sample 11,Sample 11,0.0851595207980912,90.5037097204377,60,0.000769423784754155
Sample 12,-30.3671,21.8122,91.1751,Sample 12,Sample 12,0.0717496259312611,76.2522763981829,80,0.0012142866446753
Sample 13,-29.1099,9.1183,95.7654,Sample 13,Sample 13,0.0706306518623023,75.0630810695495,40,0.00119749177284054
Sample 14,-30.7879,-3.62,98.9146,Sample 14,Sample 14,0.0667871354380623,70.9783646279211,80,0.000722177726630449
Sample 15,-30.1743,-15.5468,98.0889,Sample 15,Sample 15,0.0771000439272029,81.9384600761748,100,0.000822735552237203
Sample 16,-29.0636,-27.9014,96.8977,Sample 16,Sample 16,0.0655148447549436,69.6262312952549,100,0.000626265181380694
Sample 17,-28.8457,-41.523,97.0594,Sample 17,Sample 17,0.0502371554830461,53.3897900599743,100,0.000646381277614052
Sample 18,-28.7581,-53.467,94.6632,Sample 18,Sample 18,0.0791717744505149,84.1402021261959,100,0.000690434299095084
Sample 19,-28.899,-65.3384,90.4078,Sample 19,Sample 19,0.054905339538891,58.3509261813653,80,0.000705024420411474
Sample 20,-27.3552,-77.6619,88.8037,Sample 20,Sample 20,0.0651174573249591,69.2039058021941,80,0.000718598683830962
Sample 21,-44.9253,21.901,90.7718,Sample 21,Sample 21,0.0689434382366017,73.2699862894741,40,0.000689418423101893
Sample 22,-45.916,8.3829,89.9791,Sample 22,Sample 22,0.0720312241355714,76.5515463083685,80,0.000884946151716596
Sample 23,-44.11,-3.7778,93.483,Sample 23,Sample 23,NaN,NaN,0,NaN
Sample 24,-43.8231,-15.0659,92.8184,Sample 24,Sample 24,0.0630901216936763,67.049344647317,100,0.00078429022573973
Sample 25,-43.1316,-27.8237,94.9068,Sample 25,Sample 25,0.0702720203662466,74.6819436405052,80,0.00189574726607503
Sample 26,-42.0038,-41.1448,92.349,Sample 26,Sample 26,0.0622270649728307,66.1321267695781,80,0.00107099005654085
Sample 27,-42.4036,-50.9295,89.0519,Sample 27,Sample 27,0.088099615216682,93.6283098745616,60,0.00116502862137762
Sample 28,-41.3294,-64.7385,85.889,Sample 28,Sample 28,NaN,NaN,0,NaN
Sample 29,-41.8434,-76.7266,84.4447,Sample 29,Sample 29,NaN,NaN,20,0.000910079853127287
Sample 30,-57.9695,21.3957,84.5083,Sample 30,Sample 30,NaN,NaN,0,NaN
Sample 31,-57.078,7.7178,85.8979,Sample 31,Sample 31,0.0600120692979544,63.778128958032,40,0.000740588396241582
Sample 32,-58.5454,-5.9145,86.4705,Sample 32,Sample 32,0.0700528303241299,74.4489983190728,80,0.000847534719613312
Sample 33,-56.3766,-17.0573,88.171,Sample 33,Sample 33,NaN,NaN,20,0.000580652315964708
Sample 34,-54.7216,-30.6528,86.8201,Sample 34,Sample 34,NaN,NaN,0,NaN
Sample 35,-54.1656,-41.5719,86.6097,Sample 35,Sample 35,NaN,NaN,0,NaN
Sample 36,-53.8045,-53.4404,84.6204,Sample 36,Sample 36,NaN,NaN,0,NaN
Sample 37,-55.8325,-62.6042,84.8011,Sample 37,Sample 37,NaN,NaN,20,0.000699540540480582
Sample 38,-54.4368,-76.1554,78.5676,Sample 38,Sample 38,NaN,NaN,0,NaN
Sample 39,-18.1535,8.6757,96.8342,Sample 39,Sample 39,0.0677325779179228,71.9831383860725,100,0.000745212978427891
Sample 40,-16.9804,20.47,92.6553,Sample 40,Sample 40,NaN,NaN,20,0.000621305811797371
Sample 41,-3.1759,-76.6344,91.3576,Sample 41,Sample 41,0.0681395827086817,72.4156847777438,80,0.00069443653587841
Sample 42,-2.9766,-65.6121,94.0188,Sample 42,Sample 42,0.069523416186712,73.8863607776008,80,0.000653485750302632
Sample 43,-2.6735,-52.8282,97.6489,Sample 43,Sample 43,0.0573444146994007,60.9430655950719,80,0.000735366126893555
Sample 44,-1.4844,-41.1985,99.026,Sample 44,Sample 44,0.0579504356210236,61.5871173823655,100,0.000718178421575348
Sample 45,-1.7776,-27.9092,100.0415,Sample 45,Sample 45,0.067870124894398,72.1293171282164,80,0.000629217820935765
Sample 46,-2.1265,-15.7981,100.0275,Sample 46,Sample 46,0.0681593461195007,72.4366884421502,100,0.00084976111946717
Sample 47,-1.5641,-0.705,105.017,Sample 47,Sample 47,0.0694322367053246,73.7894593244385,100,0.00069224683469731
Sample 48,-4.3311,-0.5364,104.0605,Sample 48,Sample 48,0.060180226500961,63.9568388726214,100,0.00106451377446548
Sample 49,-1.8785,9.5754,98.4549,Sample 49,Sample 49,0.0570296926980518,60.608593202722,80,0.000854850144447477
Sample 50,-2.7542,20.8653,93.714,Sample 50,Sample 50,0.0556285494894837,59.1195211995379,60,0.000643692564272436
Sample 51,13.7927,-78.2013,89.4901,Sample 51,Sample 51,0.0698309219539321,74.2131640807786,60,0.000654365934777905
Sample 52,12.5931,-65.6048,92.1881,Sample 52,Sample 52,0.0709887262928532,75.4436264744224,40,0.00105677393855148
Sample 53,12.1586,-51.983,96.3342,Sample 53,Sample 53,0.0688595782776247,73.1808636956256,40,0.000621687064397657
Sample 54,11.5776,-39.6272,98.249,Sample 54,Sample 54,0.0632349215266004,67.2032313991882,80,0.00071070714306961
Sample 55,13.0756,-27.6069,99.8978,Sample 55,Sample 55,0.0681229994370369,72.3980608222649,80,0.000947697105161832
Sample 56,11.3041,-15.8325,99.7235,Sample 56,Sample 56,NaN,NaN,20,0.000618164345910833
Sample 57,13.1625,-2.2729,98.9852,Sample 57,Sample 57,0.0683832380066936,72.6746306731229,60,0.00209750608435445
Sample 58,11.8954,8.6203,95.0413,Sample 58,Sample 58,0.0449498434136331,47.7706725232978,40,0.00161215620931934
Sample 59,14.5057,22.4784,95.1268,Sample 59,Sample 59,0.0702421148162102,74.6501613665544,40,0.00184103236719863
Sample 6,-14.9721,-15.639,101.9315,Sample 6,Sample 6,0.0789945261203684,83.9518305704417,80,0.000984222650734655
Sample 60,25.7514,-76.0726,84.2072,Sample 60,Sample 60,NaN,NaN,20,0.000634179369650659
Sample 61,24.4928,-66.4071,87.4886,Sample 61,Sample 61,NaN,NaN,20,0.00067611857552148
Sample 62,25.1695,-54.1331,90.4356,Sample 62,Sample 62,0.0715367223165231,76.0260120091151,60,0.0011859775403717
Sample 63,23.5249,-38.2857,95.9801,Sample 63,Sample 63,0.0592453616263811,62.9633065177668,40,0.000645282096426231
Sample 64,25.4295,-26.7648,98.1682,Sample 64,Sample 64,0.0698270014254376,74.2089975193714,40,0.000676330966720248
Sample 65,25.3026,-16.7052,95.6078,Sample 65,Sample 65,0.0696411789249396,74.0115137208836,40,0.000627636001658996
Sample 66,28.7549,-3.3159,96.517,Sample 66,Sample 66,NaN,NaN,20,0.000727139629341097
Sample 67,26.7354,8.0586,92.7572,Sample 67,Sample 67,NaN,NaN,20,0.000817390969747716
Sample 68,27.1148,21.3017,90.5196,Sample 68,Sample 68,NaN,NaN,0,NaN
Sample 69,-68.3961,-75.1433,76.8229,Sample 69,Sample 69,NaN,NaN,0,NaN
Sample 7,-15.9408,-28.0585,103.9013,Sample 7,Sample 7,0.0703530997270718,74.7681111396606,100,0.000755035355325744
Sample 70,-65.6999,-63.715,74.5741,Sample 70,Sample 70,NaN,NaN,0,NaN
Sample 71,-67.3105,-52.1191,76.0724,Sample 71,Sample 71,NaN,NaN,0,NaN
Sample 72,-64.5592,-40.8152,78.0591,Sample 72,Sample 72,NaN,NaN,0,NaN
Sample 73,-65.909,-28.6012,79.9627,Sample 73,Sample 73,NaN,NaN,0,NaN
Sample 74,-67.9498,-17.0747,81.2179,Sample 74,Sample 74,NaN,NaN,20,0.000628596789812383
Sample 75,-67.5688,-6.977,80.7604,Sample 75,Sample 75,NaN,NaN,0,NaN
Sample 76,-69.5861,7.3183,80.3337,Sample 76,Sample 76,NaN,NaN,0,NaN
Sample 77,-70.8306,18.9857,76.7397,Sample 77,Sample 77,NaN,NaN,20,0.00145019497958861
Sample 78,-67.634,-87.8671,74.4614,Sample 78,Sample 78,NaN,NaN,0,NaN
Sample 79,-54.6531,-84.2233,70.8732,Sample 79,Sample 79,NaN,NaN,0,NaN
Sample 8,-16.321,-40.4604,102.8017,Sample 8,Sample 8,0.0647909853796591,68.8569460977196,100,0.000950001707433147
Sample 80,-35.0973,-92.2355,72.3003,Sample 80,Sample 80,NaN,NaN,0,NaN
Sample 81,-21.8855,-90.2235,78.3689,Sample 81,Sample 81,0.0709524203557521,75.4050421568765,100,0.00219314143875277
Sample 82,-12.0278,-92.2425,78.5404,Sample 82,Sample 82,0.0692518594102391,73.5977624454332,60,0.0015505328082122
Sample 83,1.5493,-93.5289,78.8353,Sample 83,Sample 83,0.0697444971592631,74.121315694878,100,0.000632179955983191
Sample 84,12.5175,-92.1637,78.1096,Sample 84,Sample 84,0.0712018322701624,75.6701059253321,80,0.000701464815050259
Sample 85,27.9059,-87.9854,76.3905,Sample 85,Sample 85,0.0736482597858412,78.2700590915322,80,0.00110231433022088
Sample 86,-24.8111,-103.4174,73.481,Sample 86,Sample 86,0.0424407168490385,45.1040856270151,60,0.00190189216031506
Sample 87,-12.2278,-101.5954,71.077,Sample 87,Sample 87,0.0708915022187284,75.3403010998786,40,0.00201291782868585
Sample 88,0.2949,-102.7308,70.3356,Sample 88,Sample 88,NaN,NaN,0,NaN
Sample 89,11.5409,-101.4015,69.9207,Sample 89,Sample 89,NaN,NaN,20,0.00189842482540598
Sample 9,-15.6141,-53.999,98.037,Sample 9,Sample 9,0.0685304858052405,72.8311190127914,100,0.000924927095661822
Sample 90,-32.9459,-101.6301,66.3371,Sample 90,Sample 90,NaN,NaN,0,NaN
